target,lane,format,case_id,prompt_tokens,n_predict,draft_max,decode_tps_median,decode_tps_mad,prompt_ms_median,http_e2e_ms_median,drafted_total,accepted_total,acceptance_rate,bf16_decode_ratio,off_decode_ratio,tokens_equal_bf16_mtp,tokens_equal_off
gfx1030,fixed,q8_0,coding-p128-g128-w4,128,128,4,27.213169974316767,0.022058855593094506,591.408,5259.582374,576,234,0.40625,1.0172741489027521,1.3391864504983866,True,False
gfx1030,fixed,q8_0,coding-p2048-g128-w4,2048,128,4,28.096021138826867,0.00026105934660591856,5798.211,10321.219053,549,240,0.4371584699453552,1.0392399650193478,1.3993333942449173,True,False
gfx1030,fixed,q8_0,coding-p8192-g128-w4,8192,128,4,27.63283233050086,0.04941384618859246,23601.822,28229.595086,546,243,0.44505494505494503,1.0501370544967323,1.4100596999727155,True,False
gfx1030,fixed,q8_0,coding-p2048-g512-w2,2048,512,2,35.708288578595585,0.05812730870754024,5880.402,20175.930939,1281,891,0.6955503512880562,1.0315817800518965,1.773532583254294,True,False
gfx1030,fixed,q8_0,ja-reasoning-p2048-g256-w2,2048,256,2,32.72824162323864,0.11297995686972939,5870.904,13661.200756,693,414,0.5974025974025974,1.0457756439249453,1.627572632310655,True,False
gfx1030,fixed,q8_0,en-prose-p2048-g256-w2,2048,256,2,35.226818577601854,0.020630958417307,5869.009,13125.378833,651,438,0.6728110599078341,1.0299770555988335,1.7509371369824542,True,False
gfx1030,fixed,q6_k,coding-p128-g128-w1,128,128,1,31.038049226834865,0.014996221130992637,591.347,4682.089324,210,168,0.8,1.0436336317548083,1.5274124629254169,True,True
gfx1030,fixed,q6_k,coding-p2048-g128-w1,2048,128,1,31.639830111551575,0.001529280974189362,5820.264,9840.557939,204,174,0.8529411764705882,1.0317168120604057,1.5758341953318542,True,False
gfx1030,fixed,q6_k,coding-p8192-g128-w1,8192,128,1,29.326854022928515,0.00260027900637283,23793.564,28128.563853,216,162,0.75,1.017044906110192,1.4965029458478485,True,True
gfx1030,fixed,q6_k,coding-p128-g128-w2,128,128,2,33.892461089052844,0.003464540617358125,588.931,4337.740859,333,210,0.6306306306306306,1.0402492990665428,1.66788083517429,True,True
gfx1030,fixed,q6_k,coding-p2048-g128-w2,2048,128,2,35.38359438253399,0.02932302283125665,5802.378,9391.01095,318,219,0.6886792452830188,1.022279126966924,1.7622938487710749,True,False
gfx1030,fixed,q6_k,coding-p8192-g128-w2,8192,128,2,34.905404978280316,0.021733435769078824,23804.086,27448.746926,315,222,0.7047619047619048,1.039440908859789,1.7811675720542381,True,False
gfx1030,fixed,q6_k,coding-p128-g128-w4,128,128,4,28.670922153931247,0.09988911045302729,591.1,5018.934026,552,240,0.43478260869565216,1.0717673817465558,1.4109238470959404,True,False
gfx1030,fixed,q6_k,coding-p2048-g128-w4,2048,128,4,28.418575634137017,0.0031163382791739025,5815.684,10286.46883,549,240,0.4371584699453552,1.051170890069789,1.4153983478737981,True,False
gfx1030,fixed,q6_k,coding-p8192-g128-w4,8192,128,4,27.93382718286913,0.0193242158009177,23748.397,28307.222723,546,243,0.44505494505494503,1.0615758329724299,1.4254189909113886,True,False
gfx1030,fixed,q6_k,coding-p2048-g512-w2,2048,512,2,35.456182645829166,0.02917440144468486,5906.779,20406.275694,1299,882,0.6789838337182448,1.0242986562384322,1.7610111742484036,True,False
gfx1030,fixed,q6_k,ja-reasoning-p2048-g256-w2,2048,256,2,32.63605234310858,0.00524535509970292,5914.6,13730.378162,699,411,0.5879828326180258,1.042829891296349,1.622988067363372,True,False
gfx1030,fixed,q6_k,en-prose-p2048-g256-w2,2048,256,2,35.482239817084185,0.0143928748969131,5903.112,13095.488145,645,441,0.6837209302325581,1.037445172982181,1.7636327635488585,True,False
gfx1030,fixed,q4_0,coding-p128-g128-w1,128,128,1,30.340842333454457,0.011035536711929694,581.705,4770.247716,216,162,0.75,1.0201905165994272,1.4931022364545459,True,True
gfx1030,fixed,q4_0,coding-p2048-g128-w1,2048,128,1,31.34081432813191,0.015777607542602823,5778.47,9834.765335,207,171,0.8260869565217391,1.0219664559511024,1.5609415965158884,True,False
gfx1030,fixed,q4_0,coding-p8192-g128-w1,8192,128,1,28.965720780030892,0.01701469601582062,23642.074,28031.201901,219,159,0.726027397260274,1.0045209332071003,1.47807488802012,True,True
gfx1030,fixed,q4_0,coding-p128-g128-w2,128,128,2,34.1376100501124,0.004818180890431734,589.377,4313.096161,333,210,0.6306306306306306,1.0477735692645387,1.6799448529757648,True,True
gfx1030,fixed,q4_0,coding-p2048-g128-w2,2048,128,2,34.976378551272894,0.012787487636408912,5832.854,9467.009799,324,216,0.6666666666666666,1.0105141197161571,1.7420123039739226,True,False
gfx1030,fixed,q4_0,coding-p8192-g128-w2,8192,128,2,34.59106820487064,0.1308122665595448,23649.988,27325.600893,321,219,0.6822429906542056,1.0300803384368324,1.7651274640007757,True,False
gfx1030,fixed,q4_0,coding-p128-g128-w4,128,128,4,29.11791517561542,0.03372615360760989,595.243,4958.00829,552,240,0.43478260869565216,1.0884767340979498,1.4329208066075199,True,False
gfx1030,fixed,q4_0,coding-p2048-g128-w4,2048,128,4,29.447377073431554,0.004227099791187072,5791.955,10106.584371,537,243,0.45251396648044695,1.089225088794276,1.4666382085977991,True,False
gfx1030,fixed,q4_0,coding-p8192-g128-w4,8192,128,4,28.998035668497195,0.004993206872676126,23651.972,28072.398099,534,246,0.4606741573033708,1.1020191994395845,1.4797238656345193,True,False
gfx1030,fixed,q4_0,coding-p2048-g512-w2,2048,512,2,35.69786140469478,0.01715817985637358,5882.255,20199.199108,1305,879,0.6735632183908046,1.0312805479558853,1.7730146941758624,True,False
gfx1030,fixed,q4_0,ja-reasoning-p2048-g256-w2,2048,256,2,33.197043197945376,0.041549001001996544,5901.175,13588.643161,693,414,0.5974025974025974,1.060755405878116,1.6508860941751948,True,False
gfx1030,fixed,q4_0,en-prose-p2048-g256-w2,2048,256,2,35.26702671304396,0.019891914214639428,5888.315,13120.484787,657,435,0.6621004566210046,1.0311526785652547,1.7529356687942135,True,False
gfx1030,fixed,baseline,off-coding128-128,128,128,0,20.320673020690446,0.006215355242389364,509.009,6760.718643,,,,,,,
gfx1030,fixed,baseline,off-coding2048-128,2048,128,0,20.07814667639482,0.02278123447405278,5555.327,11886.668103,,,,,,,
gfx1030,fixed,baseline,off-coding8192-128,8192,128,0,19.596923684178446,0.05125731238970843,23035.894,29538.33471,,,,,,,
gfx1030,fixed,baseline,off-coding2048-512,2048,512,0,20.133990723234223,0.011113953252742448,5682.314,31064.800978,,,,,,,
gfx1030,fixed,baseline,off-ja_reasoning2048-256,2048,256,0,20.108621251989568,0.01243808785504541,5729.66,18418.864644,,,,,,,
gfx1030,fixed,baseline,off-en_prose2048-256,2048,256,0,20.118836840888168,0.016203041108038718,5721.67,18393.310358,,,,,,,
gfx1030,full,bf16,coding-p128-g128-w2,128,128,2,30.128770841043455,0.043161659354481685,589.344,4805.61748,333,210,0.6306306306306306,1.0,1.4841221377667702,True,True
gfx1030,full,bf16,coding-p8192-g128-w2,8192,128,2,30.585907988437086,0.02686573375078538,24511.08,28690.583115,321,219,0.6822429906542056,1.0,1.5563499596241934,True,False
gfx1030,full,q8_0,coding-p128-g128-w2,128,128,2,33.15821271489524,0.010158031228556297,579.88,4412.581662,333,210,0.6306306306306306,1.1005497997191733,1.6333503214780103,True,True
gfx1030,full,q8_0,coding-p8192-g128-w2,8192,128,2,33.666329561555706,0.1004145559185261,23628.603,27394.823179,321,219,0.6822429906542056,1.1007137526956259,1.7130958045656317,True,False
gfx1030,full,q6_k,coding-p128-g128-w2,128,128,2,33.49852237226512,0.044966970543242724,584.362,4376.06256,333,210,0.6306306306306306,1.1118449720036758,1.65011373671533,True,True
gfx1030,full,q6_k,coding-p8192-g128-w2,8192,128,2,34.642000834681276,0.0281928143076442,23803.105,27473.860486,315,222,0.7047619047619048,1.1326131252267413,1.7627423917164702,True,False
gfx1030,full,q4_0,coding-p128-g128-w2,128,128,2,35.603480394396854,0.010443359837907451,583.843,4154.169024,327,213,0.6513761467889908,1.1817103519502157,1.7538024937574763,True,True
gfx1030,full,q4_0,coding-p8192-g128-w2,8192,128,2,35.39663180144887,0.01785573557948794,23649.867,27240.738356,321,219,0.6822429906542056,1.1572856301938286,1.8011414438258244,True,False
gfx1030,full,baseline,off-coding128-128,128,128,0,20.300735414121416,0.0007983108023914554,516.977,6780.053721,,,,,,,
gfx1030,full,baseline,off-coding8192-128,8192,128,0,19.652333203916786,0.03237054129184713,23258.541,29735.512832,,,,,,,
gfx1201,fixed,bf16,coding-p128-g128-w1,128,128,1,35.44774973777039,0.018382758673922694,345.061,3929.002271,213,168,0.7887323943661971,1.0,1.3815880480236067,True,True
gfx1201,fixed,bf16,coding-p2048-g128-w1,2048,128,1,35.18903299151944,0.023972419083612806,2475.463,6086.780601,210,168,0.8,1.0,1.3911679406297284,True,False
gfx1201,fixed,bf16,coding-p8192-g128-w1,8192,128,1,34.840404883911496,0.06655432689437646,9225.627,12888.091376,210,171,0.8142857142857143,1.0,1.4002641286757658,True,False
gfx1201,fixed,bf16,coding-p128-g128-w2,128,128,2,43.46223593697223,0.04881090112796471,350.875,3277.956352,303,228,0.7524752475247525,1.0,1.693955361203692,True,True
gfx1201,fixed,bf16,coding-p2048-g128-w2,2048,128,2,41.535206647464534,0.002186915682813151,2479.302,5533.057875,312,222,0.7115384615384616,1.0,1.6420584194316739,True,True
gfx1201,fixed,bf16,coding-p8192-g128-w2,8192,128,2,41.18630837388996,0.034556264580338336,9210.78,12395.635028,309,225,0.7281553398058253,1.0,1.6553111366156337,True,False
gfx1201,fixed,bf16,coding-p128-g128-w4,128,128,4,34.96970439585705,0.0673880220609746,349.88,3987.237729,549,240,0.4371584699453552,1.0,1.3629560689646627,True,False
gfx1201,fixed,bf16,coding-p2048-g128-w4,2048,128,4,35.21157024472596,0.05022535373858972,2465.632,6077.889163,537,243,0.45251396648044695,1.0,1.3920589314147926,True,False
gfx1201,fixed,bf16,coding-p8192-g128-w4,8192,128,4,34.80485711372911,0.03037771141172385,9220.286,12879.338834,534,246,0.4606741573033708,1.0,1.3988354349620544,True,False
gfx1201,fixed,bf16,coding-p2048-g512-w2,2048,512,2,38.40474072328227,0.029400911901198867,2465.541,15773.480554,1380,840,0.6086956521739131,1.0,1.513726838878735,True,False
gfx1201,fixed,bf16,ja-reasoning-p2048-g256-w2,2048,256,2,42.48430205039238,0.043660084711447666,2464.92,8469.114218,624,450,0.7211538461538461,1.0,1.6730679680524714,True,False
gfx1201,fixed,bf16,en-prose-p2048-g256-w2,2048,256,2,43.180254533207055,0.004803383605640477,2449.406,8357.534448,618,456,0.7378640776699029,1.0,1.700008314315677,True,False
gfx1201,fixed,q8_0,coding-p128-g128-w1,128,128,1,36.37394708879539,0.043889372634410506,342.328,3835.046285,213,168,0.7887323943661971,1.0261285231891073,1.4176869033741848,True,True
gfx1201,fixed,q8_0,coding-p2048-g128-w1,2048,128,1,36.045322878108344,0.04329429136372198,2463.025,5985.778253,210,168,0.8,1.024333998800003,1.425020619627615,True,False
gfx1201,fixed,q8_0,coding-p8192-g128-w1,8192,128,1,35.74630257978532,0.0031897492743979683,9208.901,12766.021988,210,171,0.8142857142857143,1.0260013538560269,1.4366728917773652,True,False
gfx1201,fixed,q8_0,coding-p128-g128-w2,128,128,2,44.25733234224787,0.006183728772242603,350.751,3221.400918,303,228,0.7524752475247525,1.0182939599892806,1.7249445128051795,True,True
gfx1201,fixed,q8_0,coding-p2048-g128-w2,2048,128,2,41.71747219711144,0.0546801179703138,2460.546,5507.818135,318,219,0.6886792452830188,1.00438821819749,1.6492641300691655,True,True
gfx1201,fixed,q8_0,coding-p8192-g128-w2,8192,128,2,41.87635067717686,0.02613621954245815,9213.996,12248.310784,309,225,0.7281553398058253,1.0167541673563625,1.6830444964253424,True,False
gfx1201,fixed,q8_0,coding-p128-g128-w4,128,128,4,36.25750594608823,0.10426745569944273,354.617,3859.216974,549,240,0.4371584699453552,1.0368262063543137,1.4131485704122195,True,False
gfx1201,fixed,q8_0,coding-p2048-g128-w4,2048,128,4,36.408139254539044,0.10318371168683171,2473.844,5956.349597,537,243,0.45251396648044695,1.0339822678027915,1.439364250819398,True,False
gfx1201,fixed,q8_0,coding-p8192-g128-w4,8192,128,4,35.92449858451818,0.035237583965148644,9218.568,12759.25311,534,246,0.4606741573033708,1.032169115567132,1.443834733728748,True,False
gfx1201,fixed,q8_0,coding-p2048-g512-w2,2048,512,2,39.3232219555015,0.010307078271274861,2452.58,15439.533431,1386,837,0.6038961038961039,1.023915829528369,1.5499288719098756,True,False
gfx1201,fixed,q8_0,ja-reasoning-p2048-g256-w2,2048,256,2,43.56516092372492,0.033287450241026306,2458.139,8313.845921,624,450,0.7211538461538461,1.025441370604382,1.7156331102740146,True,False
gfx1201,fixed,q8_0,en-prose-p2048-g256-w2,2048,256,2,44.3719567145472,0.16628390617963618,2463.565,8212.878726,618,456,0.7378640776699029,1.027598313030408,1.7469256759284575,True,False
gfx1201,fixed,q6_k,coding-p128-g128-w1,128,128,1,36.37351996290474,0.0045009524522043876,346.44,3839.26202,213,168,0.7887323943661971,1.0261164737390345,1.4176702559979792,True,True
gfx1201,fixed,q6_k,coding-p2048-g128-w1,2048,128,1,36.19472075772936,0.04874680730740266,2472.091,5987.911772,210,168,0.8,1.0285795795085442,1.4309269353986935,True,False
gfx1201,fixed,q6_k,coding-p8192-g128-w1,8192,128,1,35.83592226708767,0.02751360686632154,9283.474,12832.756133,210,171,0.8142857142857143,1.028573645641985,1.4402747796937299,True,False
gfx1201,fixed,q6_k,coding-p128-g128-w2,128,128,2,44.44777316656435,0.5721684519060659,346.894,3205.383024,303,228,0.7524752475247525,1.0226757139467313,1.7323670084128786,True,True
gfx1201,fixed,q6_k,coding-p2048-g128-w2,2048,128,2,43.28420065328469,0.06549519910515755,2457.215,5403.09349,312,222,0.7115384615384616,1.0421087108260945,1.7112033825750759,True,True
gfx1201,fixed,q6_k,coding-p8192-g128-w2,8192,128,2,41.78567633078331,0.020433826000044064,9378.907,12421.983918,315,222,0.7047619047619048,1.0145526020796105,1.679400220904749,True,False
gfx1201,fixed,q6_k,coding-p128-g128-w4,128,128,4,35.68574514645767,0.027423743687386093,352.57,3915.313391,561,237,0.42245989304812837,1.0204760309808467,1.390863999658316,True,False
gfx1201,fixed,q6_k,coding-p2048-g128-w4,2048,128,4,36.536153962777426,0.038278895923447465,2478.392,5966.604116,537,243,0.45251396648044695,1.0376178542690768,1.4444252014307213,True,False
gfx1201,fixed,q6_k,coding-p8192-g128-w4,8192,128,4,36.2105515266169,0.016795327979366448,9306.504,12816.142875,534,246,0.4606741573033708,1.0403878805850144,1.4553314334673886,True,False
gfx1201,fixed,q6_k,coding-p2048-g512-w2,2048,512,2,40.06845354196113,0.03796424620054495,2462.217,15217.69999,1380,840,0.6086956521739131,1.0433205064621163,1.5793022521842601,True,False
gfx1201,fixed,q6_k,ja-reasoning-p2048-g256-w2,2048,256,2,44.50786087366313,0.002687714506173222,2464.703,8196.594868,618,453,0.7330097087378641,1.0476307418413164,1.7527574365217542,True,False
gfx1201,fixed,q6_k,en-prose-p2048-g256-w2,2048,256,2,44.97720978323102,0.011212314023367753,2467.655,8140.313454,618,456,0.7378640776699029,1.0416152074472382,1.7707545129779538,True,False
gfx1201,fixed,q4_0,coding-p128-g128-w1,128,128,1,36.65769563375094,0.00836089433727949,336.844,3805.095981,210,168,0.8,1.034133221570658,1.4287460989861693,True,True
gfx1201,fixed,q4_0,coding-p2048-g128-w1,2048,128,1,36.33030714271002,0.15031080629074722,2467.73,5966.32004,210,168,0.8,1.0324326659236593,1.4362872256918775,True,False
gfx1201,fixed,q4_0,coding-p8192-g128-w1,8192,128,1,36.502025287568415,0.18606298570526292,9228.185,12743.243813,207,174,0.8405797101449275,1.0476923390871447,1.4670460003121355,True,False
gfx1201,fixed,q4_0,coding-p128-g128-w2,128,128,2,44.737937841743246,0.14550738925647977,348.422,3188.57028,309,225,0.7281553398058253,1.0293519621636817,1.7436762748727086,True,True
gfx1201,fixed,q4_0,coding-p2048-g128-w2,2048,128,2,42.82593147243983,0.009240514886670326,2458.41,5423.024012,318,219,0.6886792452830188,1.0310754400701672,1.6930861074364363,True,True
gfx1201,fixed,q4_0,coding-p8192-g128-w2,8192,128,2,42.02548266432294,0.10117683344427064,9245.247,12279.453399,315,222,0.7047619047619048,1.0203750790873256,1.689038231938308,True,False
gfx1201,fixed,q4_0,coding-p128-g128-w4,128,128,4,36.81166889324123,0.0741995496784682,356.619,3806.179756,549,240,0.4371584699453552,1.0526731503513196,1.434747258907482,True,False
gfx1201,fixed,q4_0,coding-p2048-g128-w4,2048,128,4,37.76079103802631,0.118527838133069,2482.947,5848.62668,525,246,0.4685714285714286,1.0723972482789852,1.492840167491408,True,False
gfx1201,fixed,q4_0,coding-p8192-g128-w4,8192,128,4,35.84716012869977,0.012896139087757774,9236.633,12783.894109,546,243,0.44505494505494503,1.0299470562848398,1.4407264384660916,True,False
gfx1201,fixed,q4_0,coding-p2048-g512-w2,2048,512,2,41.25642693991393,0.007529220483831978,2447.31,14836.882423,1356,852,0.6283185840707964,1.0742534948270817,1.626126346879032,True,False
gfx1201,fixed,q4_0,ja-reasoning-p2048-g256-w2,2048,256,2,45.245970402747695,0.034113551855028845,2447.55,8086.370998,615,456,0.7414634146341463,1.0650044420896827,1.7818248178938412,True,False
gfx1201,fixed,q4_0,en-prose-p2048-g256-w2,2048,256,2,44.8322167474174,0.15651489850328915,2446.439,8135.642444,624,453,0.7259615384615384,1.0382573523956402,1.76504613147197,True,False
gfx1201,fixed,baseline,off-coding128-128,128,128,0,25.657249849894985,0.001798773194000347,272.661,5223.282866,,,,,,,
gfx1201,fixed,baseline,off-coding2048-128,2048,128,0,25.294597412581773,0.023564161944726436,2268.359,7295.395239,,,,,,,
gfx1201,fixed,baseline,off-coding8192-128,8192,128,0,24.88130929759672,0.021403450984319505,8866.793,13982.197724,,,,,,,
gfx1201,fixed,baseline,off-coding2048-512,2048,512,0,25.370984867870792,0.02681375196296898,2277.303,22420.481626,,,,,,,
gfx1201,fixed,baseline,off-ja_reasoning2048-256,2048,256,0,25.39305208254395,0.002035730682052872,2282.868,12326.567353,,,,,,,
gfx1201,fixed,baseline,off-en_prose2048-256,2048,256,0,25.40002549963344,0.01115480185875839,2287.333,12329.434116,,,,,,,
gfx1201,full,bf16,coding-p128-g128-w2,128,128,2,40.3166923804626,0.03353488345521072,343.188,3494.438122,303,228,0.7524752475247525,1.0,1.5756918915830176,True,True
gfx1201,full,bf16,coding-p8192-g128-w2,8192,128,2,37.523041954601844,0.03760962510452259,9190.065,12591.687509,315,222,0.7047619047619048,1.0,1.5083471040927592,True,False
gfx1201,full,q8_0,coding-p128-g128-w2,128,128,2,44.458696120961264,0.016612553439905753,343.691,3200.480669,303,228,0.7524752475247525,1.1027366952976,1.7375732693314814,True,True
gfx1201,full,q8_0,coding-p8192-g128-w2,8192,128,2,41.87426575783024,0.1074574128877046,9189.52,12227.385104,309,225,0.7281553398058253,1.1159613820354124,1.6832571188724677,True,False
gfx1201,full,q6_k,coding-p128-g128-w2,128,128,2,44.30334043698443,0.038171861629244574,338.893,3209.032381,309,225,0.7281553398058253,1.0988833116293477,1.7315015239302576,True,True
gfx1201,full,q6_k,coding-p8192-g128-w2,8192,128,2,41.878974380619866,0.004405799439098246,9275.568,12312.702234,315,222,0.7047619047619048,1.1160868682045595,1.6834463955723042,True,False
gfx1201,full,q4_0,coding-p128-g128-w2,128,128,2,46.423151042656656,0.16848718904758897,342.189,3079.142596,303,228,0.7524752475247525,1.151462292704181,1.8143497980775696,True,True
gfx1201,full,q4_0,coding-p8192-g128-w2,8192,128,2,42.30377709440338,0.05897010640304501,9204.215,12206.990626,321,219,0.6822429906542056,1.1274079842883107,1.7005225682323284,True,False
gfx1201,full,baseline,off-coding128-128,128,128,0,25.58665980057717,0.027107579221151923,281.03,5246.426978,,,,,,,
gfx1201,full,baseline,off-coding8192-128,8192,128,0,24.876927766020547,0.0263172444574451,8865.192,13975.04914,,,,,,,
